"district","pop_2000","pop_2010","pop_2001","pop_2002","pop_2003","pop_2004","pop_2005","pop_2006","pop_2007","pop_2008","pop_2009"
1,25613,57055,28757,31901,35045,38189,41334,44478,47622,50766,53910
2,129078,110685,127238,125399,123559,121720,119881,118041,116202,114362,112523
3,93384,75235,91569,89754,87939,86124,84309,82494,80679,78864,77049
4,141422,123575,139637,137852,136067,134283,132498,130713,128929,127144,125359
5,92729,74396,90895,89062,87229,85395,83562,81729,79895,78062,76229
6,105360,90841,103908,102456,101004,99552,98100,96648,95196,93744,92292
7,91600,71071,89547,87494,85441,83388,81335,79282,77229,75176,73123
8,244470,247373,244760,245050,245340,245631,245921,246211,246502,246792,247082
9,165457,155681,164479,163501,162524,161546,160569,159591,158613,157636,156658
10,137120,118093,135217,133314,131411,129509,127606,125703,123801,121898,119995
11,82392,70474,81200,80008,78816,77624,76433,75241,74049,72857,71665
12,130194,127869,129961,129728,129495,129263,129031,128798,128566,128333,128100
14,132459,117738,130986,129514,128042,126570,125098,123626,122154,120682,119210
15,72736,59458,71408,70080,68752,67424,66097,64769,63441,62113,60785
16,199898,199482,199856,199814,199773,199731,199690,199648,199606,199565,199523
17,156859,144096,155582,154306,153030,151753,150477,149201,147924,146648,145372
18,110995,117041,111599,112204,112808,113413,114018,114622,115227,115831,116436
19,205907,200786,205394,204882,204369,203858,203346,202833,202322,201809,201297
20,102512,91279,101388,100265,99142,98018,96895,95772,94648,93525,92402
22,111545,101941,110584,109624,108663,107703,106743,105782,104822,103861,102901
24,151435,141038,150395,149355,148315,147276,146236,145196,144157,143117,142077
25,212535,200391,211320,210106,208891,207677,206463,205248,204034,202819,201605
